layer_idx,layer_name,frac_2bit,frac_4bit,frac_8bit,modal_bit,mean_bits
0,stem_conv,0.0,0.8,0.2,4,4.8
1,block1a_dwconv,0.0,0.4,0.6,8,6.4
2,block1a_se_reduce,0.0,0.6,0.4,4,5.6
3,block1a_se_expand,0.0,0.4,0.6,8,6.4
4,block1a_project_conv,0.0,0.4,0.6,8,6.4
5,block2a_expand_conv,0.0,0.4,0.6,8,6.4
6,block2a_dwconv,0.0,0.0,1.0,8,8.0
7,block2a_se_reduce,0.0,0.4,0.6,8,6.4
8,block2a_se_expand,0.0,0.6,0.4,4,5.6
9,block2a_project_conv,0.0,0.4,0.6,8,6.4
10,block2b_expand_conv,0.0,0.0,1.0,8,8.0
11,block2b_dwconv,0.0,0.6,0.4,4,5.6
12,block2b_se_reduce,0.8,0.2,0.0,2,2.4
13,block2b_se_expand,0.4,0.4,0.2,2,4.0
14,block2b_project_conv,0.0,0.6,0.4,4,5.6
15,block3a_expand_conv,0.0,0.4,0.6,8,6.4
16,block3a_dwconv,0.0,0.4,0.6,8,6.4
17,block3a_se_reduce,0.8,0.0,0.2,2,3.2
18,block3a_se_expand,0.4,0.4,0.2,2,4.0
19,block3a_project_conv,0.0,0.6,0.4,4,5.6
20,block3b_expand_conv,0.0,0.4,0.6,8,6.4
21,block3b_dwconv,0.0,0.2,0.8,8,7.2
22,block3b_se_reduce,0.4,0.2,0.4,2,4.8
23,block3b_se_expand,0.2,0.4,0.4,4,5.2
24,block3b_project_conv,0.0,0.6,0.4,4,5.6
25,block4a_expand_conv,0.0,0.6,0.4,4,5.6
26,block4a_dwconv,0.0,0.4,0.6,8,6.4
27,block4a_se_reduce,0.0,0.2,0.8,8,7.2
28,block4a_se_expand,0.6,0.2,0.2,2,3.6
29,block4a_project_conv,0.0,0.4,0.6,8,6.4
30,block4b_expand_conv,0.0,1.0,0.0,4,4.0
31,block4b_dwconv,0.2,0.6,0.2,4,4.4
32,block4b_se_reduce,0.0,0.8,0.2,4,4.8
33,block4b_se_expand,0.0,0.4,0.6,8,6.4
34,block4b_project_conv,0.2,0.6,0.2,4,4.4
35,block4c_expand_conv,0.0,0.2,0.8,8,7.2
36,block4c_dwconv,0.0,0.6,0.4,4,5.6
37,block4c_se_reduce,0.0,0.4,0.6,8,6.4
38,block4c_se_expand,0.2,0.4,0.4,4,5.2
39,block4c_project_conv,0.4,0.0,0.6,8,5.6
40,block5a_expand_conv,0.0,0.4,0.6,8,6.4
41,block5a_dwconv,0.0,0.2,0.8,8,7.2
42,block5a_se_reduce,0.4,0.2,0.4,2,4.8
43,block5a_se_expand,0.0,0.8,0.2,4,4.8
44,block5a_project_conv,0.0,0.4,0.6,8,6.4
45,block5b_expand_conv,0.0,1.0,0.0,4,4.0
46,block5b_dwconv,0.2,0.6,0.2,4,4.4
47,block5b_se_reduce,0.4,0.2,0.4,2,4.8
48,block5b_se_expand,0.4,0.4,0.2,2,4.0
49,block5b_project_conv,0.4,0.2,0.4,2,4.8
50,block5c_expand_conv,0.2,0.2,0.6,8,6.0
51,block5c_dwconv,0.2,0.4,0.4,4,5.2
52,block5c_se_reduce,0.0,1.0,0.0,4,4.0
53,block5c_se_expand,0.2,0.2,0.6,8,6.0
54,block5c_project_conv,0.6,0.4,0.0,2,2.8
55,block6a_expand_conv,0.0,0.4,0.6,8,6.4
56,block6a_dwconv,0.2,0.0,0.8,8,6.8
57,block6a_se_reduce,0.0,0.4,0.6,8,6.4
58,block6a_se_expand,0.0,0.6,0.4,4,5.6
59,block6a_project_conv,0.0,0.8,0.2,4,4.8
60,block6b_expand_conv,0.6,0.2,0.2,2,3.6
61,block6b_dwconv,0.4,0.4,0.2,2,4.0
62,block6b_se_reduce,0.0,0.8,0.2,4,4.8
63,block6b_se_expand,0.4,0.0,0.6,8,5.6
64,block6b_project_conv,0.4,0.6,0.0,4,3.2
65,block6c_expand_conv,0.4,0.4,0.2,2,4.0
66,block6c_dwconv,1.0,0.0,0.0,2,2.0
67,block6c_se_reduce,0.0,0.4,0.6,8,6.4
68,block6c_se_expand,0.4,0.6,0.0,4,3.2
69,block6c_project_conv,0.2,0.2,0.6,8,6.0
70,block6d_expand_conv,0.4,0.4,0.2,2,4.0
71,block6d_dwconv,0.6,0.4,0.0,2,2.8
72,block6d_se_reduce,0.2,0.6,0.2,4,4.4
73,block6d_se_expand,0.6,0.2,0.2,2,3.6
74,block6d_project_conv,0.0,0.6,0.4,4,5.6
75,block7a_expand_conv,0.4,0.4,0.2,2,4.0
76,block7a_dwconv,0.0,0.6,0.4,4,5.6
77,block7a_se_reduce,0.2,0.2,0.6,8,6.0
78,block7a_se_expand,0.2,0.2,0.6,8,6.0
79,block7a_project_conv,0.4,0.4,0.2,2,4.0
80,top_conv,0.6,0.0,0.4,2,4.4
81,dense,0.0,0.4,0.6,8,6.4
