layer_idx,layer_name,frac_2bit,frac_4bit,frac_8bit,modal_bit,mean_bits
0,Conv1,0.0,0.5,0.5,4,6.0
1,expanded_conv_depthwise,0.0,0.0,1.0,8,8.0
2,expanded_conv_project,0.0,0.2,0.8,8,7.2
3,block_1_expand,0.0,0.3,0.7,8,6.8
4,block_1_depthwise,0.0,0.2,0.8,8,7.2
5,block_1_project,0.0,0.3,0.7,8,6.8
6,block_2_expand,0.0,0.4,0.6,8,6.4
7,block_2_depthwise,0.0,0.4,0.6,8,6.4
8,block_2_project,0.0,0.4,0.6,8,6.4
9,block_3_expand,0.0,0.6,0.4,4,5.6
10,block_3_depthwise,0.1,0.4,0.5,8,5.8
11,block_3_project,0.0,0.4,0.6,8,6.4
12,block_4_expand,0.0,0.7,0.3,4,5.2
13,block_4_depthwise,0.0,0.7,0.3,4,5.2
14,block_4_project,0.2,0.2,0.6,8,6.0
15,block_5_expand,0.1,0.4,0.5,8,5.8
16,block_5_depthwise,0.0,0.7,0.3,4,5.2
17,block_5_project,0.2,0.5,0.3,4,4.8
18,block_6_expand,0.0,0.5,0.5,4,6.0
19,block_6_depthwise,0.0,0.7,0.3,4,5.2
20,block_6_project,0.0,0.6,0.4,4,5.6
21,block_7_expand,0.0,0.7,0.3,4,5.2
22,block_7_depthwise,0.3,0.1,0.6,8,5.8
23,block_7_project,0.1,0.6,0.3,4,5.0
24,block_8_expand,0.0,0.3,0.7,8,6.8
25,block_8_depthwise,0.2,0.5,0.3,4,4.8
26,block_8_project,0.2,0.5,0.3,4,4.8
27,block_9_expand,0.3,0.4,0.3,4,4.6
28,block_9_depthwise,0.1,0.3,0.6,8,6.2
29,block_9_project,0.1,0.4,0.5,8,5.8
30,block_10_expand,0.0,0.4,0.6,8,6.4
31,block_10_depthwise,0.0,0.3,0.7,8,6.8
32,block_10_project,0.0,0.6,0.4,4,5.6
33,block_11_expand,0.3,0.3,0.4,8,5.0
34,block_11_depthwise,0.0,0.6,0.4,4,5.6
35,block_11_project,0.0,0.5,0.5,4,6.0
36,block_12_expand,0.2,0.6,0.2,4,4.4
37,block_12_depthwise,0.0,0.4,0.6,8,6.4
38,block_12_project,0.2,0.5,0.3,4,4.8
39,block_13_expand,0.0,0.5,0.5,4,6.0
40,block_13_depthwise,0.1,0.5,0.4,4,5.4
41,block_13_project,0.1,0.6,0.3,4,5.0
42,block_14_expand,0.4,0.4,0.2,2,4.0
43,block_14_depthwise,0.4,0.3,0.3,2,4.4
44,block_14_project,0.4,0.4,0.2,2,4.0
45,block_15_expand,0.2,0.7,0.1,4,4.0
46,block_15_depthwise,0.2,0.4,0.4,4,5.2
47,block_15_project,0.3,0.4,0.3,4,4.6
48,block_16_expand,0.0,0.3,0.7,8,6.8
49,block_16_depthwise,0.1,0.1,0.8,8,7.0
50,block_16_project,0.0,0.8,0.2,4,4.8
51,Conv_1,0.4,0.3,0.3,2,4.4
52,dense,0.2,0.1,0.7,8,6.4
