layer_idx,layer_name,frac_2bit,frac_4bit,frac_8bit,modal_bit,mean_bits
0,conv2d,0.0,0.0,1.0,8,8.0
1,conv2d_1,0.0,0.333,0.667,8,6.67
2,conv2d_2,0.0,0.333,0.667,8,6.67
3,conv2d_3,0.0,0.333,0.667,8,6.67
4,conv2d_4,0.0,1.0,0.0,4,4.0
5,conv2d_5,0.0,0.0,1.0,8,8.0
6,conv2d_6,0.0,0.333,0.667,8,6.67
7,conv2d_7,0.0,0.0,1.0,8,8.0
8,conv2d_8,0.0,0.667,0.333,4,5.33
9,conv2d_9,0.0,0.0,1.0,8,8.0
10,conv2d_10,0.0,0.333,0.667,8,6.67
11,conv2d_11,0.0,0.667,0.333,4,5.33
12,conv2d_12,0.0,0.667,0.333,4,5.33
13,conv2d_13,0.0,0.333,0.667,8,6.67
14,conv2d_14,0.0,0.0,1.0,8,8.0
15,conv2d_15,0.0,0.333,0.667,8,6.67
16,conv2d_16,0.0,0.667,0.333,4,5.33
17,conv2d_17,0.0,0.333,0.667,8,6.67
18,conv2d_18,0.0,0.333,0.667,8,6.67
19,conv2d_19,0.0,0.667,0.333,4,5.33
20,conv2d_20,0.0,1.0,0.0,4,4.0
21,dense,0.0,0.0,1.0,8,8.0
